Country Name,Year,Incidents
Poland,1998,2
Sierra Leone,1998,7
South Africa,1998,6
Spain,1998,17
Swaziland,1998,1
Switzerland,1998,1
Tajikistan,1998,11
Thailand,1998,4
Turkey,1998,23
Uganda,1998,18
United Kingdom,1998,63
United States,1998,31
Venezuela,1998,1
Yemen,1998,7
Albania,1999,3
Argentina,1999,1
Armenia,1999,2
Belarus,1999,1
Bulgaria,1999,1
Cambodia,1999,8
Canada,1999,2
Denmark,1999,1
Ecuador,1999,2
Egypt,1999,1
Estonia,1999,1
France,1999,46
Georgia,1999,7
Germany,1999,13
Greece,1999,35
Guatemala,1999,1
Haiti,1999,5
Indonesia,1999,60
Ireland,1999,3
Italy,1999,7
Japan,1999,2
Jordan,1999,2
Kyrgyzstan,1999,3
Latvia,1999,1
Lebanon,1999,42
Macedonia,1999,3
Mexico,1999,1
Netherlands,1999,1
Nicaragua,1999,1
Pakistan,1999,39
Panama,1999,1
Paraguay,1999,1
Peru,1999,5
Philippines,1999,31
Sierra Leone,1999,9
South Africa,1999,17
Spain,1999,47
Swaziland,1999,1
Sweden,1999,2
Switzerland,1999,2
Tajikistan,1999,4
Thailand,1999,4
Turkey,1999,109
Uganda,1999,19
Ukraine,1999,6
United Kingdom,1999,76
United States,1999,54
Venezuela,1999,5
Yemen,1999,17
Zambia,1999,7
Albania,2000,2
Armenia,2000,2
Australia,2000,1
Azerbaijan,2000,1
Bulgaria,2000,2
Cambodia,2000,4
Canada,2000,5
Croatia,2000,2
Ecuador,2000,4
France,2000,28
Gambia,2000,1
Georgia,2000,7
Germany,2000,8
Greece,2000,28
Guatemala,2000,1
Guinea,2000,12
Haiti,2000,9
Indonesia,2000,101
Italy,2000,8
Japan,2000,13
Jordan,2000,2
Kenya,2000,4
Kyrgyzstan,2000,4
Latvia,2000,3
Lebanon,2000,12
Macedonia,2000,3
Malaysia,2000,3
Mexico,2000,4
Netherlands,2000,1
Nicaragua,2000,1
Pakistan,2000,49
Panama,2000,1
Paraguay,2000,2
Peru,2000,3
Philippines,2000,132
Sierra Leone,2000,24
Slovenia,2000,1
South Africa,2000,21
Spain,2000,112
Sweden,2000,1
Switzerland,2000,4
Tajikistan,2000,6
Thailand,2000,4
Tunisia,2000,1
Turkey,2000,35
Uganda,2000,20
Ukraine,2000,1
United Kingdom,2000,61
United States,2000,42
Yemen,2000,10
Zambia,2000,8
Albania,2001,1
Argentina,2001,2
Armenia,2001,2
Australia,2001,2
Azerbaijan,2001,4
Belarus,2001,1
Bulgaria,2001,1
Cambodia,2001,7
Costa Rica,2001,1
Croatia,2001,3
Czech Republic,2001,1
Ecuador,2001,5
Estonia,2001,1
France,2001,21
Georgia,2001,4
Germany,2001,8
Greece,2001,14
Guatemala,2001,2
Guyana,2001,1
Haiti,2001,5
Hungary,2001,1
Indonesia,2001,106
Ireland,2001,2
Italy,2001,11
Japan,2001,3
Jordan,2001,2
Kenya,2001,7
Kyrgyzstan,2001,1
Lebanon,2001,5
Macedonia,2001,67
Malaysia,2001,1
Mexico,2001,7
Netherlands,2001,1
New Zealand,2001,1
Norway,2001,1
Pakistan,2001,53
Peru,2001,3
Philippines,2001,50
Poland,2001,1
South Korea,2001,1
Spain,2001,79
Switzerland,2001,2
Tajikistan,2001,6
Thailand,2001,14
Tunisia,2001,1
Turkey,2001,19
Uganda,2001,24
United Kingdom,2001,94
United States,2001,47
Venezuela,2001,5
Vietnam,2001,4
Yemen,2001,7
Azerbaijan,2002,1
Bulgaria,2002,1
Cambodia,2002,3
Ecuador,2002,2
France,2002,32
Georgia,2002,2
Germany,2002,3
Greece,2002,10
Guyana,2002,1
Haiti,2002,2
Honduras,2002,1
Indonesia,2002,43
Italy,2002,7
Japan,2002,2
Jordan,2002,2
Kenya,2002,2
Kyrgyzstan,2002,2
Lebanon,2002,8
Macedonia,2002,8
Malawi,2002,1
Netherlands,2002,2
Pakistan,2002,46
Peru,2002,2
Philippines,2002,48
South Africa,2002,8
Spain,2002,41
Thailand,2002,12
Tunisia,2002,1
Turkey,2002,5
Turkmenistan,2002,1
Uganda,2002,24
Ukraine,2002,3
United Kingdom,2002,21
United States,2002,33
Venezuela,2002,5
Yemen,2002,7
Zambia,2002,1
Albania,2003,1
Argentina,2003,1
Bolivia,2003,1
Cambodia,2003,1
Czech Republic,2003,1
Ecuador,2003,4
France,2003,34
Georgia,2003,6
Germany,2003,2
Greece,2003,12
Guatemala,2003,3
Guyana,2003,1
Haiti,2003,5
Indonesia,2003,18
Ireland,2003,1
Italy,2003,15
Japan,2003,2
Kenya,2003,2
Kyrgyzstan,2003,1
Lebanon,2003,5
Macedonia,2003,5
Mexico,2003,1
Morocco,2003,5
Netherlands,2003,3
New Zealand,2003,3
Norway,2003,1
Pakistan,2003,29
Peru,2003,1
Philippines,2003,107
South Korea,2003,1
Spain,2003,21
Swaziland,2003,1
Switzerland,2003,1
Thailand,2003,6
Turkey,2003,19
Uganda,2003,30
Ukraine,2003,1
United Kingdom,2003,23
United States,2003,33
Venezuela,2003,8
Yemen,2003,7
Canada,2004,2
Djibouti,2004,1
Ecuador,2004,2
Egypt,2004,3
France,2004,11
Georgia,2004,3
Germany,2004,3
Greece,2004,4
Guatemala,2004,2
Haiti,2004,2
Honduras,2004,1
Indonesia,2004,17
Italy,2004,3
Lebanon,2004,1
Mauritania,2004,1
Mexico,2004,1
Netherlands,2004,1
Pakistan,2004,67
Peru,2004,3
Philippines,2004,31
Spain,2004,31
Thailand,2004,44
Turkey,2004,27
Uganda,2004,10
United Kingdom,2004,5
United States,2004,9
Argentina,2005,3
Bolivia,2005,1
Croatia,2005,1
Egypt,2005,2
France,2005,33
Georgia,2005,6
Germany,2005,3
Greece,2005,6
Guinea,2005,1
Haiti,2005,1
Indonesia,2005,15
Italy,2005,6
Jordan,2005,4
Kenya,2005,2
Kyrgyzstan,2005,2
Lebanon,2005,17
Mauritania,2005,1
Mexico,2005,1
Pakistan,2005,77
Peru,2005,2
Philippines,2005,25
Spain,2005,24
Sweden,2005,3
Tajikistan,2005,1
Thailand,2005,155
Trinidad and Tobago,2005,2
Turkey,2005,41
Uganda,2005,11
United Kingdom,2005,29
United States,2005,21
Uruguay,2005,1
Yemen,2005,7
Australia,2006,2
Austria,2006,1
Belarus,2006,1
Canada,2006,2
Egypt,2006,5
France,2006,34
Georgia,2006,3
Germany,2006,4
Greece,2006,23
Guatemala,2006,4
Guyana,2006,2
Haiti,2006,1
Indonesia,2006,10
Ireland,2006,1
Italy,2006,4
Jordan,2006,1
Kenya,2006,2
Kyrgyzstan,2006,3
Lebanon,2006,8
Lesotho,2006,1
Macedonia,2006,3
Mexico,2006,7
Norway,2006,1
Pakistan,2006,164
Peru,2006,1
Philippines,2006,58
South Korea,2006,1
Spain,2006,23
Swaziland,2006,1
Sweden,2006,1
Thailand,2006,202
Turkey,2006,43
United Kingdom,2006,6
United States,2006,6
Yemen,2006,5
Armenia,2007,1
Austria,2007,1
Azerbaijan,2007,1
Bolivia,2007,3
Finland,2007,1
France,2007,16
Germany,2007,3
Greece,2007,15
Haiti,2007,2
Indonesia,2007,2
Ireland,2007,1
Jamaica,2007,1
Kenya,2007,12
Kyrgyzstan,2007,1
Latvia,2007,1
Lebanon,2007,18
Macedonia,2007,1
Mexico,2007,10
Morocco,2007,6
Pakistan,2007,260
Peru,2007,4
Philippines,2007,65
South Africa,2007,2
Spain,2007,11
Switzerland,2007,2
Tajikistan,2007,1
Thailand,2007,293
Tunisia,2007,1
Turkey,2007,30
Uganda,2007,1
Ukraine,2007,1
United Kingdom,2007,24
United States,2007,8
Venezuela,2007,2
Yemen,2007,7
Australia,2008,1
Austria,2008,7
Azerbaijan,2008,2
Belarus,2008,1
Bulgaria,2008,2
Cambodia,2008,2
Canada,2008,5
Croatia,2008,2
Czech Republic,2008,2
Denmark,2008,1
Ecuador,2008,2
Egypt,2008,1
Finland,2008,1
France,2008,13
Georgia,2008,33
Germany,2008,3
Greece,2008,53
Guyana,2008,3
Hungary,2008,2
Indonesia,2008,13
Ireland,2008,5
Italy,2008,1
Japan,2008,3
Kenya,2008,11
Lebanon,2008,58
Macedonia,2008,9
Malaysia,2008,2
Mauritania,2008,2
Mexico,2008,8
Netherlands,2008,1
New Zealand,2008,5
Pakistan,2008,568
Peru,2008,1
Philippines,2008,276
Romania,2008,1
South Africa,2008,1
Spain,2008,37
Swaziland,2008,3
Sweden,2008,1
Thailand,2008,200
Tunisia,2008,1
Turkey,2008,32
Uganda,2008,7
Ukraine,2008,1
United Kingdom,2008,39
United States,2008,18
Venezuela,2008,1
Yemen,2008,22
Albania,2009,1
Argentina,2009,1
Armenia,2009,1
Australia,2009,1
Austria,2009,3
Azerbaijan,2009,2
Bolivia,2009,3
Canada,2009,4
Croatia,2009,1
Czech Republic,2009,1
Ecuador,2009,1
Egypt,2009,2
France,2009,9
Georgia,2009,25
Germany,2009,4
Greece,2009,115
Honduras,2009,8
Hungary,2009,1
Indonesia,2009,19
Italy,2009,4
Japan,2009,1
Kenya,2009,1
Lebanon,2009,14
Lesotho,2009,1
Macedonia,2009,1
Malaysia,2009,1
Mauritania,2009,5
Mexico,2009,1
Netherlands,2009,1
Pakistan,2009,667
Panama,2009,1
Peru,2009,4
Philippines,2009,229
Spain,2009,21
Sweden,2009,1
Tajikistan,2009,1
Thailand,2009,298
Turkey,2009,13
Uganda,2009,2
Ukraine,2009,2
United Kingdom,2009,23
United States,2009,12
Venezuela,2009,3
Yemen,2009,23
Argentina,2010,5
Australia,2010,1
Belarus,2010,2
Canada,2010,2
Denmark,2010,1
Egypt,2010,2
France,2010,3
Georgia,2010,7
Germany,2010,1
Greece,2010,49
Indonesia,2010,4
Ireland,2010,4
Italy,2010,10
Jordan,2010,2
Kenya,2010,12
Kyrgyzstan,2010,1
Lebanon,2010,5
Mauritania,2010,1
Mexico,2010,5
Netherlands,2010,1
Norway,2010,1
Pakistan,2010,713
Paraguay,2010,2
Philippines,2010,205
Poland,2010,1
Spain,2010,3
Sweden,2010,3
Tajikistan,2010,1
Thailand,2010,253
Trinidad and Tobago,2010,1
Turkey,2010,20
Uganda,2010,6
Ukraine,2010,4
United Kingdom,2010,57
United States,2010,17
Yemen,2010,112
Argentina,2011,1
Austria,2011,1
Belarus,2011,1
Bulgaria,2011,2
Czech Republic,2011,1
Ecuador,2011,1
Egypt,2011,18
Estonia,2011,1
France,2011,8
Georgia,2011,3
Germany,2011,8
Greece,2011,11
Honduras,2011,1
Indonesia,2011,21
Ireland,2011,4
Italy,2011,5
Kenya,2011,42
Kyrgyzstan,2011,1
Lebanon,2011,10
Mauritania,2011,3
Mexico,2011,2
Morocco,2011,1
Netherlands,2011,2
Norway,2011,3
Pakistan,2011,1012
Paraguay,2011,4
Philippines,2011,151
Portugal,2011,2
Sweden,2011,1
Switzerland,2011,3
Thailand,2011,182
Tunisia,2011,3
Turkey,2011,51
Ukraine,2011,3
United Kingdom,2011,47
United States,2011,10
Yemen,2011,118
Argentina,2012,2
Belarus,2012,3
Bolivia,2012,1
Bulgaria,2012,2
Canada,2012,3
Ecuador,2012,1
Egypt,2012,49
France,2012,66
Georgia,2012,3
Germany,2012,5
Greece,2012,23
Guatemala,2012,1
Iceland,2012,1
Indonesia,2012,39
Ireland,2012,29
Italy,2012,10
Jordan,2012,2
Kenya,2012,80
Lebanon,2012,15
Macedonia,2012,1
Malaysia,2012,2
Mexico,2012,16
Pakistan,2012,1654
Paraguay,2012,4
Peru,2012,9
Philippines,2012,249
South Africa,2012,4
Spain,2012,1
Sweden,2012,2
Tajikistan,2012,5
Thailand,2012,280
Tunisia,2012,3
Turkey,2012,189
Uganda,2012,4
Ukraine,2012,8
United Kingdom,2012,54
United States,2012,20
Venezuela,2012,1
Yemen,2012,312
Albania,2013,1
Argentina,2013,2
Armenia,2013,1
Australia,2013,1
Austria,2013,1
Bahamas,2013,1
Bulgaria,2013,3
Cambodia,2013,2
Canada,2013,4
Croatia,2013,2
Czech Republic,2013,1
Denmark,2013,1
Dominican Republic,2013,1
Ecuador,2013,2
Egypt,2013,321
France,2013,18
Georgia,2013,2
Greece,2013,55
Guatemala,2013,6
Guinea,2013,2
Honduras,2013,2
Indonesia,2013,32
Ireland,2013,27
Italy,2013,7
Japan,2013,1
Jordan,2013,1
Kenya,2013,80
Lebanon,2013,121
Malaysia,2013,13
Mexico,2013,8
Pakistan,2013,2215
Paraguay,2013,10
Peru,2013,13
Philippines,2013,651
South Africa,2013,13
Spain,2013,5
Switzerland,2013,2
Thailand,2013,472
Trinidad and Tobago,2013,3
Tunisia,2013,29
Turkey,2013,42
Ukraine,2013,5
United Kingdom,2013,136
United States,2013,20
Venezuela,2013,1
Yemen,2013,434
Albania,2014,2
Argentina,2014,1
Australia,2014,8
Azerbaijan,2014,3
Bulgaria,2014,1
Canada,2014,3
Czech Republic,2014,5
Djibouti,2014,1
Dominican Republic,2014,1
Egypt,2014,354
France,2014,14
Georgia,2014,2
Germany,2014,13
Ghana,2014,1
Greece,2014,27
Honduras,2014,1
Hungary,2014,1
Iceland,2014,1
Indonesia,2014,35
Ireland,2014,33
Italy,2014,7
Jamaica,2014,1
Japan,2014,5
Jordan,2014,3
Kenya,2014,115
Kyrgyzstan,2014,2
Lebanon,2014,205
Macedonia,2014,3
Malaysia,2014,12
Mexico,2014,5
Netherlands,2014,1
New Zealand,2014,1
Nicaragua,2014,2
Pakistan,2014,2149
Paraguay,2014,15
Peru,2014,12
Philippines,2014,597
South Africa,2014,20
Spain,2014,4
Sweden,2014,5
Tajikistan,2014,1
Thailand,2014,423
Tunisia,2014,23
Turkey,2014,95
Turkmenistan,2014,1
Uganda,2014,6
Ukraine,2014,896
United Kingdom,2014,104
United States,2014,29
Venezuela,2014,4
Yemen,2014,814
Albania,2015,4
Argentina,2015,1
Armenia,2015,2
Australia,2015,12
Bulgaria,2015,2
Canada,2015,5
Czech Republic,2015,4
Denmark,2015,5
Djibouti,2015,1
Ecuador,2015,1
Egypt,2015,647
Estonia,2015,1
Finland,2015,9
France,2015,38
Georgia,2015,1
Germany,2015,66
Greece,2015,30
Guinea,2015,2
Hungary,2015,1
Indonesia,2015,29
Ireland,2015,28
Italy,2015,5
Japan,2015,10
Jordan,2015,4
Kenya,2015,70
Kyrgyzstan,2015,3
Lebanon,2015,44
Lesotho,2015,1
Macedonia,2015,4
Malaysia,2015,5
Mexico,2015,19
Morocco,2015,1
Netherlands,2015,3
Pakistan,2015,1243
Paraguay,2015,19
Peru,2015,10
Philippines,2015,721
South Africa,2015,5
South Korea,2015,1
Spain,2015,1
Sweden,2015,35
Tajikistan,2015,3
Thailand,2015,278
Trinidad and Tobago,2015,1
Tunisia,2015,19
Turkey,2015,425
Uganda,2015,10
Ukraine,2015,638
United Kingdom,2015,114
United States,2015,39
Venezuela,2015,3
Yemen,2015,818
Albania,2016,2
Argentina,2016,2
Armenia,2016,2
Australia,2016,9
Austria,2016,3
Azerbaijan,2016,2
Bulgaria,2016,1
Canada,2016,6
Czech Republic,2016,2
Denmark,2016,1
Ecuador,2016,6
Egypt,2016,376
Finland,2016,3
France,2016,25
Georgia,2016,4
Germany,2016,45
Ghana,2016,1
Greece,2016,30
Guinea,2016,1
Guyana,2016,1
Haiti,2016,1
Honduras,2016,1
Hungary,2016,1
Indonesia,2016,19
Ireland,2016,15
Italy,2016,11
Japan,2016,1
Jordan,2016,11
Kenya,2016,65
Kyrgyzstan,2016,4
Lebanon,2016,41
Malaysia,2016,19
Mexico,2016,5
Netherlands,2016,6
New Zealand,2016,1
Pakistan,2016,864
Panama,2016,1
Paraguay,2016,15
Peru,2016,4
Philippines,2016,632
Poland,2016,2
Sierra Leone,2016,1
South Africa,2016,27
South Korea,2016,1
Spain,2016,3
Sweden,2016,16
Switzerland,2016,2
Tajikistan,2016,2
Thailand,2016,329
Tunisia,2016,12
Turkey,2016,544
Uganda,2016,15
Ukraine,2016,62
United Kingdom,2016,104
United States,2016,68
Uruguay,2016,1
Venezuela,2016,6
Yemen,2016,917
Albania,2017,1
Argentina,2017,3
Australia,2017,4
Austria,2017,1
Azerbaijan,2017,2
Canada,2017,16
Czech Republic,2017,3
Djibouti,2017,1
Dominican Republic,2017,1
Ecuador,2017,3
Egypt,2017,225
Finland,2017,2
France,2017,42
Georgia,2017,1
Germany,2017,27
Greece,2017,44
Honduras,2017,1
Indonesia,2017,27
Ireland,2017,17
Italy,2017,10
Jamaica,2017,2
Jordan,2017,8
Kenya,2017,97
Kyrgyzstan,2017,3
Latvia,2017,1
Lebanon,2017,23
Macedonia,2017,1
Malawi,2017,1
Malaysia,2017,4
Mexico,2017,20
Netherlands,2017,1
Norway,2017,1
Pakistan,2017,719
Paraguay,2017,10
Peru,2017,8
Philippines,2017,695
Poland,2017,1
Sierra Leone,2017,3
South Africa,2017,29
Spain,2017,4
Sweden,2017,18
Tajikistan,2017,2
Thailand,2017,179
Tunisia,2017,4
Turkey,2017,181
Uganda,2017,13
Ukraine,2017,62
United Kingdom,2017,123
United States,2017,66
Venezuela,2017,17
Vietnam,2017,2
Yemen,2017,530
Zambia,2017,2
Argentina,2018,5
Armenia,2018,1
Australia,2018,3
Austria,2018,1
Azerbaijan,2018,1
Bolivia,2018,2
Bulgaria,2018,1
Cambodia,2018,1
Canada,2018,7
Denmark,2018,1
Ecuador,2018,11
Egypt,2018,54
Finland,2018,1
France,2018,13
Georgia,2018,1
Germany,2018,22
Ghana,2018,2
Greece,2018,26
Guatemala,2018,2
Guinea,2018,2
Haiti,2018,5
Indonesia,2018,43
Ireland,2018,5
Italy,2018,15
Japan,2018,1
Jordan,2018,2
Kenya,2018,52
Kyrgyzstan,2018,1
Lebanon,2018,8
Lithuania,2018,1
Malawi,2018,2
Malaysia,2018,7
Mauritania,2018,1
Mexico,2018,27
Morocco,2018,1
Netherlands,2018,6
Nicaragua,2018,7
Pakistan,2018,480
Paraguay,2018,4
Peru,2018,5
Philippines,2018,600
Poland,2018,1
South Africa,2018,41
South Korea,2018,1
Spain,2018,2
Sweden,2018,6
Switzerland,2018,1
Tajikistan,2018,3
Thailand,2018,182
Trinidad and Tobago,2018,1
Tunisia,2018,19
Turkey,2018,94
Uganda,2018,10
Ukraine,2018,36
United Kingdom,2018,101
United States,2018,75
Venezuela,2018,11
Vietnam,2018,1
Yemen,2018,497
Albania,2019,1
Argentina,2019,1
Australia,2019,2
Bolivia,2019,1
Canada,2019,5
Costa Rica,2019,2
Denmark,2019,2
Ecuador,2019,3
Egypt,2019,63
Finland,2019,3
France,2019,20
Germany,2019,16
Ghana,2019,3
Greece,2019,32
Guyana,2019,1
Haiti,2019,4
Honduras,2019,5
Hungary,2019,1
Indonesia,2019,26
Ireland,2019,12
Italy,2019,8
Japan,2019,2
Jordan,2019,4
Kenya,2019,49
Lebanon,2019,7
Lithuania,2019,1
Malawi,2019,5
Malaysia,2019,2
Mexico,2019,31
Netherlands,2019,4
New Zealand,2019,2
Nicaragua,2019,3
Norway,2019,3
Pakistan,2019,362
Peru,2019,1
Philippines,2019,466
South Africa,2019,23
South Korea,2019,1
Spain,2019,4
Sweden,2019,2
Switzerland,2019,1
Tajikistan,2019,2
Thailand,2019,130
Trinidad and Tobago,2019,1
Tunisia,2019,16
Turkey,2019,70
Uganda,2019,4
Ukraine,2019,31
United Kingdom,2019,86
United States,2019,68
Venezuela,2019,9
Yemen,2019,772
